City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
174,General Pico,AR,-35.6566,-63.7568,54.86,89,44,6.17,scattered clouds
175,Kavaratti,IN,10.5669,72.642,83.41,75,100,3.36,overcast clouds
176,Padang,ID,-0.9492,100.3543,75.2,100,75,5.75,broken clouds
177,Reitoca,HN,13.8258,-87.4653,78.8,41,20,11.5,few clouds
178,Boralday,KZ,43.3578,76.8594,46.4,100,90,4.47,overcast clouds
179,Trairi,BR,-3.2778,-39.2689,74.64,90,71,3.42,broken clouds
180,Stony Plain,CA,53.5334,-114.0021,46.4,57,75,8.05,broken clouds
181,Sambava,MG,-14.2667,50.1667,74.57,86,100,5.08,overcast clouds
182,Belaya Gora,RU,68.5333,146.4167,4.53,86,33,4.12,scattered clouds
183,Mount Isa,AU,-20.7333,139.5,89.6,19,5,18.41,clear sky
184,Leh,IN,34.1667,77.5833,35.19,56,92,4.41,overcast clouds
185,New Norfolk,AU,-42.7826,147.0587,62.01,66,98,1.01,overcast clouds
186,Meulaboh,ID,4.1363,96.1285,76.87,89,94,5.39,overcast clouds
187,San Jose,US,37.3394,-121.895,75.99,20,1,11.5,clear sky
188,Karratha,AU,-20.7377,116.8463,86.54,53,65,5.32,broken clouds
189,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.07,88,0,8.68,clear sky
190,Port Hedland,AU,-20.3167,118.5667,87.8,66,90,5.75,overcast clouds
191,Tuy Hoa,VN,13.0833,109.3,79.03,77,93,2.66,overcast clouds
192,Esperance,AU,-33.8667,121.9,64.4,88,0,8.05,clear sky
193,Sandwick,GB,60.0,-1.25,44.6,87,90,26.46,overcast clouds
194,Rabo De Peixe,PT,37.8,-25.5833,53.6,82,40,3.44,scattered clouds
195,Altay,CN,47.8667,88.1167,32.43,64,2,6.67,clear sky
196,Miraflores,MX,19.2167,-98.8083,82.4,21,20,9.22,few clouds
197,Atambua,ID,-9.1061,124.8925,79.97,74,100,2.08,overcast clouds
198,Narsaq,GL,60.9167,-46.05,10.4,52,75,1.14,broken clouds
199,Kandrian,PG,-6.2167,149.55,87.62,63,100,7.52,overcast clouds
200,Lethem,GY,3.3803,-59.7968,81.36,59,22,7.31,few clouds
201,Faanui,PF,-16.4833,-151.75,82.62,74,14,22.62,few clouds
202,Pontiac,US,42.6389,-83.2911,54.0,62,75,4.61,broken clouds
203,Lazaro Cardenas,MX,17.9583,-102.2,75.45,63,4,5.28,clear sky
204,East London,ZA,-33.0153,27.9116,64.42,70,38,11.63,scattered clouds
205,Warrnambool,AU,-38.3833,142.4833,62.01,84,20,5.01,few clouds
206,Fairbanks,US,64.8378,-147.7164,26.6,74,75,9.22,broken clouds
207,Finschhafen,PG,-6.6024,147.8681,85.21,68,100,10.71,overcast clouds
